28	O
.	O
Juli	O
2008	O
Immer	O
noch	O
regiert	O
die	O
Tabubrechstange	O
,	O
und	O
wieder	O
wurde	O
die	O
inzwischen	O
bekannteste	O
aller	O
Urenkelinnen	O
am	O
Ende	O
mit	O
dieser	O
ganz	O
besonderen	O
Bayreuther	O
Variante	O
der	O
kalten	O
Dusche	O
bedacht	O
.	O
Keine	O
Überraschung	O
,	O
denn	O
gerade	O
noch	O
waren	O
Goethe	PERSON
und	O
Schiller	PERSON
,	O
am	O
Ende	O
der	O
Ansprache	O
des	O
Hans	PERSON
Sachs	PERSON
über	O
echt	O
deutsche	O
Kunst	O
und	O
welschen	O
Tand	O
``	O
,	O
als	O
monumentale	O
Muskelmänner	O
aus	O
dem	O
Boden	O
gefahren	O
,	O
hatten	O
die	O
deutschen	O
Meister	O
``	O
,	O
zombiehaft	O
maskiert	O
als	O
Bachbeethovenmozartwagnerundsoweiter	O
,	O
sich	O
zupackend	O
am	O
Gemächt	O
gespielt	O
,	O
war	O
das	O
Wettsingen	O
ums	O
Evchen	O
und	O
die	O
Ehre	O
als	O
eine	O
Supergala	O
der	O
Volksmusik	O
gezeigt	O
worden	O
--	O
und	O
vieles	O
mehr	O
.	O
Für	O
die	O
Liebeshandlung	O
zwischen	O
dem	O
Bürgermädchen	O
und	O
dem	O
Ritter-K	O
ünstler	O
interessiert	O
sich	O
die	O
Regisseurin	O
nach	O
wie	O
vor	O
kaum	O
.	O
Weshalb	O
diese	O
Geschichte	O
auch	O
nicht	O
mit	O
Flirt-Gepl	O
änkel	O
zwischen	O
Kirchenbänken	O
beginnt	O
,	O
sondern	O
in	O
einem	O
muffigen	O
Akademiesaal	O
.	O
Ernst	O
schauen	O
die	O
Meister	O
der	O
Vergangenheit	O
als	O
Gipsbüsten	O
auf	O
die	O
Versammlung	O
ihrer	O
Verweser	O
:	O
graue	O
Kultur-Handwerker	O
,	O
deren	O
einzige	O
Farbe	O
das	O
Gelb	O
der	O
Reclamheftchen	O
ist	O
,	O
auf	O
denen	O
ihre	O
Weisheit	O
gründet	O
.	O
Endlos	O
langweilig	O
die	O
Ansprachen	O
von	O
Kothner	O
,	O
Pogner	O
und	O
Co.	O
Anzeige	O
Hang	O
zur	O
Überdeutlichkeit	O
Dass	O
Hans	PERSON
Sachs	PERSON
anders	O
ist	O
als	O
diese	O
Zünftler	O
,	O
das	O
wird	O
uns	O
von	O
Katharina	PERSON
Wagner	PERSON
überklar	O
gemacht	O
mit	O
jenem	O
Hang	O
zu	O
szenischen	O
Tautologien	O
,	O
der	O
,	O
entgegen	O
der	O
gleichfalls	O
überdeutlichen	O
Absicht	O
,	O
es	O
anders	O
zu	O
machen	O
als	O
der	O
Papa	O
,	O
doch	O
genau	O
daran	O
erinnert	O
.	O
Also	O
raucht	O
dieser	O
Sachs	PERSON
Kette	O
,	O
trägt	O
das	O
schwarze	O
Hemd	O
einen	O
Knopf	O
zu	O
weit	O
offen	O
,	O
und	O
--	O
das	O
jedenfalls	O
ist	O
witzig	O
bei	O
einem	O
Schuhmacher	O
--	O
er	O
geht	O
barfuß	O
.	O
Wahrscheinlich	O
haut	O
er	O
statt	O
auf	O
Leder	O
lieber	O
auf	O
seine	O
alte	O
Schreibmaschine	O
.	O
Schon	O
deshalb	O
muss	O
ihn	O
dieser	O
Turnschuhtyp	O
Stolzing	O
interessieren	O
,	O
der	O
aus	O
einem	O
Piano	O
steigt	O
und	O
die	O
Herren	O
der	O
Akademie	ORGANIZATION
mit	O
einer	O
leichtfertig-genialischen	O
Über	O
-	O
Kreativität	O
erschreckt	O
:	O
Mal	O
macht	O
er	O
Musik	O
,	O
dann	O
malt	O
er	O
oder	O
macht	O
eine	O
Art	O
von	O
Buchstabenkunst	O
.	O
Zum	O
Thema	O
\*	O
Themenbox	O
Bayreuth	O
2008	O
Franz	PERSON
Hawlata	PERSON
spielt	O
die	O
Wandlung	O
des	O
Sachs	PERSON
vom	O
Antiautoritären	O
über	O
den	O
rotweinsüffelnden	O
Kunst-Erm	O
öglicher	O
zum	O
faschistoiden	O
Kunst-Prediger	O
weit	O
überzeugender	O
,	O
als	O
er	O
ihn	O
singen	O
kann	O
.	O
Dafür	O
erscheint	O
Klaus	PERSON
Florian	PERSON
Vogt	PERSON
mit	O
seinem	O
allerdings	O
betörend	O
hellen	O
,	O
immer	O
leicht	O
melancholischen	O
Ton	O
für	O
einen	O
Kunst-Krawallo	O
zu	O
sängerknabenhaft	O
.	O
Erst	O
wenn	O
er	O
am	O
Ende	O
das	O
Preislied	O
als	O
Schlagerstar	O
singt	O
,	O
passt	O
es	O
.	O
Umgekehrt	O
wird	O
aus	O
dem	O
Hochwasserhosenträger	O
und	O
Kultur-Pedanten	O
Beckmesser	O
am	O
Ende	O
ein	O
Rocker	O
.	O
Das	O
ist	O
zwar	O
nicht	O
plausibel	O
,	O
die	O
große	O
Gesangs	O
-	O
und	O
Darstellungskunst	O
von	O
Michael	PERSON
Volle	PERSON
beglaubigt	O
es	O
dennoch	O
.	O
Beckmessers	PERSON
Gegen-Performance	O
zum	O
Stolzing-Kitsch	O
aber	O
kommt	O
auf	O
der	O
Festwiese	O
,	O
die	O
hier	O
eine	O
Mischung	O
aus	O
Fernsehshow	O
und	O
Reichsparteitag	O
ist	O
,	O
beim	O
Volk	O
nicht	O
gut	O
an	O
,	O
trotz	O
des	O
Einsatzes	O
von	O
Nackerten	O
.	O
Pointen	O
verdrängen	O
die	O
wahre	O
Kunst	O
Zu	O
den	O
Ärgernissen	O
der	O
Inszenierung	O
gehört	O
,	O
dass	O
so	O
letztlich	O
jede	O
Kunst	O
``	O
denunziert	O
wird	O
,	O
als	O
museal	O
-LRB-	O
Reclam	O
-RRB-	O
oder	O
korrupt	O
-LRB-	O
Medien	O
-RRB-	O
oder	O
überhaupt	O
Blödsinn	O
.	O
Und	O
wo	O
in	O
den	O
Meistersingern	O
``	O
so	O
viel	O
von	O
Handwerk	O
die	O
Rede	O
ist	O
:	O
Von	O
Regiehandwerk	O
,	O
richtigem	O
Timing	O
,	O
der	O
Fähigkeit	O
,	O
Bewegungen	O
aus	O
der	O
Musik	O
zu	O
entwickeln	O
,	O
ist	O
wenig	O
zu	O
sehen	O
.	O
Auch	O
von	O
Humor	O
.	O
Man	O
kann	O
verstehen	O
,	O
dass	O
Katharina	PERSON
Wagner	PERSON
,	O
die	O
2015	O
einen	O
neuen	O
Tristan	O
``	O
in	O
Bayreuth	LOCATION
inszenieren	O
soll	O
,	O
eine	O
kritische	O
``	O
Haltung	O
zu	O
den	O
C-Dur-Affirmationen	O
des	O
Stückes	O
sucht	O
,	O
zum	O
Paraderummel	O
und	O
der	O
Sachs-Ansprache	O
über	O
die	O
wahre	O
deutsche	O
Kunst	O
.	O
Dass	O
sie	O
aber	O
sogar	O
den	O
musikalischen	O
Seligkeitsmoment	O
des	O
Quintetts	O
um	O
einer	O
flauen	O
Pointe	O
willen	O
entzaubert	O
,	O
beschädigt	O
mehr	O
als	O
ein	O
paar	O
schöne	O
Töne	O
:	O
Eine	O
spießige	O
Taufgesellschaft	O
stellt	O
sich	O
zum	O
Gruppenfoto-Freeze	O
auf	O
,	O
und	O
als	O
die	O
Musik	O
gar	O
nicht	O
aufhören	O
will	O
,	O
muss	O
ein	O
Knabe	O
dringend	O
Pipi	O
.	O
Walther	PERSON
von	O
Stolzing	PERSON
-LRB-	O
Klaus	O
Florian	PERSON
Vogt	PERSON
-RRB-	O
als	O
Turnschuhmacho	O
,	O
Sixtus	O
Beckmess	O
...	O
Walther	PERSON
von	PERSON
Stolzing	PERSON
-LRB-	O
Klaus	PERSON
Florian	PERSON
Vogt	PERSON
-RRB-	O
als	O
Turnschuhmacho	O
,	O
Sixtus	O
Beckmesser	O
-LRB-	O
Michael	PERSON
Volle	PERSON
-RRB-	O
als	O
Reclamheftchenpedant	O
Das	O
ist	O
nun	O
besonders	O
schade	O
,	O
weil	O
es	O
an	O
solchen	O
rein	O
musikalischen	O
Momenten	O
durchaus	O
fehlt	O
.	O
Sebastian	PERSON
Weigle	PERSON
gelingt	O
zwar	O
eine	O
schöne	O
Fliederduftigkeit	O
,	O
doch	O
schon	O
den	O
kontrapunktischen	O
Verdichtungen	O
des	O
Vorspiels	O
gibt	O
er	O
sich	O
so	O
ungebremst	O
hin	O
,	O
dass	O
vor	O
lauter	O
Temporückungen	O
und	O
-	O
rücknahmen	O
kein	O
großer	O
Sog	O
entstehen	O
kann	O
.	O
Und	O
mehr	O
als	O
im	O
ersten	O
Jahr	O
wackelt	O
die	O
Koordination	O
mit	O
den	O
Sängern	O
.	O
Michaela	PERSON
Kaune	PERSON
,	O
neu	O
im	O
Ensemble	O
,	O
wertet	O
die	O
Eva	PERSON
wenigstens	O
stimmlich	O
auf	O
.	O
Norbert	PERSON
Ernst	PERSON
hätte	O
mit	O
mehr	O
Kontakt	O
zum	O
Orchester	O
einen	O
sehr	O
guten	O
David	PERSON
gesungen	O
.	O
Ansonsten	O
viel	O
Bayreuther	O
Mittelmaß	O
--	O
und	O
der	O
großartige	O
Chor	O
.	O
Bayreuth	LOCATION
ist	O
Pop	O
Dreißigtausend	O
sollen	O
sich	O
vor	O
der	O
Riesenleinwand	O
zur	O
ersten	O
Freiluftübertragung	O
aus	O
dem	O
Festspielhaus	O
eingefunden	O
haben	O
.	O
Das	O
Wetter	O
spielte	O
mit	O
,	O
die	O
Stimmung	O
war	O
blendend	O
.	O
Public	O
Viewing	O
``	O
,	O
die	O
Festspiele	O
als	O
-LRB-	O
kostenpflichtiger	O
-RRB-	O
LiveStream	O
im	O
Internet	O
,	O
DVD-Produktion	O
:	O
Das	O
neueste	O
Neu-Bayreuth	O
arbeitet	O
erfolgreich	O
an	O
der	O
Verlängerung	O
der	O
Verwertungsketten	O
.	O
Dass	O
ausgerechnet	O
Katharina	PERSON
Wagners	PERSON
teure	O
,	O
aber	O
misslungene	O
Meistersinger	O
``	O
durch	O
die	O
neuen	O
Kanäle	O
geschickt	O
werden	O
,	O
kann	O
man	O
künstlerisch	O
beklagen	O
;	O
medial-betriebswirtschaftlich	O
spielt	O
das	O
keine	O
Rolle	O
:	O
Das	O
neue	O
Bayreuth	O
ist	O
Pop	O
,	O
und	O
Katharina	PERSON
ist	O
seine	O
Prinzessin	O
.	O
Als	O
Stil-Ikone	O
ist	O
sie	O
am	O
Ende	O
hundertfach	O
im	O
Chor	O
gedoubelt	O
,	O
womöglich	O
eine	O
Ironie	O
.	O
Denkt	O
auch	O
an	O
die	O
Verwertungskette	O
:	O
Public	O
Viewing-Premiere	O
in	O
Bayreuth	LOCATION
Denkt	O
auch	O
an	O
die	O
Verwertungskette	O
:	O
Public	O
Viewing-Premiere	O
in	O
Bayreuth	LOCATION
Was	O
aber	O
will	O
es	O
uns	O
sagen	O
,	O
wenn	O
der	O
faschistoide	O
Spuk	O
der	O
Festwiese	O
aus	O
der	O
gleichsam	O
anachronistischen	O
Mutation	O
des	O
68er-Sachs	O
gedeutet	O
wird	O
?	O
Kurzschlüssig	O
wäre	O
,	O
das	O
bloße	O
Herzeigen	O
von	O
Nazisymbolik	O
bereits	O
als	O
Aufarbeitung	O
``	O
zu	O
verstehen	O
:	O
Die	O
Verirrungen	O
der	O
Linken	O
``	O
waren	O
für	O
die	O
Bayreuther	O
Firmengeschichte	O
wohl	O
nicht	O
das	O
Problem	O
.	O
Dass	O
dennoch	O
,	O
im	O
Vorgriff	O
auf	O
die	O
erwarteten	O
Negativreaktionen	O
,	O
ein	O
Produktionsteam	O
auf	O
der	O
Bühne	O
mit	O
allerhand	O
Gerümpel	O
in	O
einer	O
Blechkiste	O
verbrannt	O
wird	O
,	O
woran	O
sich	O
dann	O
Sachs	PERSON
und	O
Co	O
,	O
riefenstahlartig	O
von	O
unten	O
beleuchtet	O
,	O
die	O
Hände	O
wärmen	O
,	O
ist	O
das	O
Gegenteil	O
selbstkritischer	O
Reflexion	O
der	O
bösen	O
braunen	O
Vergangenheit	O
.	O
Man	O
kann	O
,	O
man	O
darf	O
das	O
einfach	O
auch	O
geschmacklos	O
finden	O
.	O
Es	O
wird	O
viel	O
geputzt	O
in	O
den	O
neuen	O
Bayreuther	O
Meistersingern	O
``	O
,	O
das	O
große	O
Reinemachen	O
hat	O
eben	O
erst	O
angefangen	O
.	O
